Ave;Otros nombres;Especie;Familia;Orden;Color;Tamaño;Patas;Alas;Picos;Alimentación;Nidificación;Se encuentra en:;Hábitat;Migración;Cronotipo;Foto
Fardela de alas grandes;NULL ;Pterodroma macroptera;Procelariidae;PROCELLANIIFORMES;"blanco;gris";mediano - pequeño;semipalmeadas;de planeo;pescador ganchudo;carnivoro;cavidad;16;pelagico;Si;diurno;https://www.avesdechile.cl/0jpgn/194ro1.jpg
Fardela de frente blanca;Petrel de cabeza blanca;Pterodroma lessoni;Procelariidae;PROCELLANIIFORMES;"blanco;gris";mediano ;semipalmeadas;de planeo;pescador ganchudo;carnivoro;madriguera;6, 16;pelagico;Si;nocturno;https://www.avesdechile.cl/0jpgn/195.jpg
Fardela blanca ;Fardela de patas rosadas, Fardela de la noche, Fardela blanca chilena;Puffinus creatopus;Procelariidae;PROCELLANIIFORMES;"blanco;pardo";mediano ;semipalmeadas;de planeo;pescador ganchudo;carnivoro;madriguera;6;pelagico;Si;diurno;https://www.avesdechile.cl/0jpgn/432a.jpg
Golondrina de mar de vientre blanco;NULL ;Fregetta grallaria;Hydrobatidae;PROCELLANIIFORMES;"blanco;gris;negro";mediano - pequeño;semipalmeadas;de planeo;pescador ganchudo;carnivoro;madriguera;6;pelagico;No;diurno;https://www.avesdechile.cl/0jpgn/435mg1.jpg
Yunco;Yunque, Petrel buceador, Potoyunco peruano;Pelecanoides garnotii;Pelecanoididae;PROCELLANIIFORMES;"blanco;negro";mediano - pequeño;palmeadas;de planeo;pescador ganchudo;carnivoro;madriguera;1:13;pelagico;No;diurno - nocturno;https://www.avesdechile.cl/0jpgn/351jctm1.jpg
Ave del tropico de pico rojo;Faeton de pico rojo;Phaeton aethereus;Phaethonidae ;PELECANIFORMES ;"blanco;negro";mediano;palmeadas;de planeo;pescador ;carnivoro;cavidad;4:6;pelagico;Si;diurno - nocturno;https://www.avesdechile.cl/0jpgn/198ds1.jpg
Pelicano ;Alcatraz, Huajache, Katalafken kage;Pelecanus thagus;Pelecanidae ;PELECANIFORMES ;"blanco;negro";muy grande;totipalmeadas;de planeo;pico - bolsa;carnivoro;escarbado ;1:13;costa;No;diurno;https://www.avesdechile.cl/0jpgn/087.jpg
Gallina ciega peruana;Chotacabras trinador;Chordeiles acutipennis;Caprimulgidae;CAPRIMULGIFORMES;"blanco;pardo";mediano - pequeño;anisodactilas;elevadoras;insectivoro;carnivoro;escarbado;1;desierto ;No;diurno - crepuscular ;https://www.avesdechile.cl/0jpgn/095ek.jpg
Gallina ciega ;Plastilla, Atajacaminos común, Chotacabras barba larga;Caprimulgus longirostris;Caprimulgidae;CAPRIMULGIFORMES;"gris;pardo";mediano - pequeño;anisodactilas;elevadoras;insectivoro;carnivoro;escarbado;1: 16;desierto;No;crepuscular - nocturno;https://www.avesdechile.cl/0jpgn/150jc5.jpg
Vencejo de Chimenea;NULL ;Chaetura pelagica ;Apodidae;APODIFORMES;"gris;pardo";mediano - pequeño;pamprodactilas;de alta velocidad;insectivoro;carnivoro;cuenco;1:4;formacion de agua dulce;Si;diurno;https://www.avesdechile.cl/0jpgn/372.jpg
Vencejo Chico;Vencejo blanco, Vencejo andino ;Aeronautes  andecolus;Apodidae;APODIFORMES;"blanco;pardo";pequeño;pamprodactilas;de alta velocidad;insectivoro;carnivoro;cavidad;1:2;cordillera;No;diurno;https://www.avesdechile.cl/0jpgn/371ap1.jpg
Picaflor azul;Picaflor de cara azul, colibri azul;Colibri coruscans;Trochilidae;APODIFORMES;"azul;verde";pequeño;anisodactilas;de alta velocidad;nectarivoro;nectarivoro;cuenco;1;bosque;No;diurno;https://www.avesdechile.cl/0jpgn/381gg1.jpg
Picaflor de la Puna;Picaflor serrano grande, Picaflor cordillerano de Estela;Oreotrochilus estella;Trochilidae;APODIFORMES;"blanco;castaño;verde";pequeño;anisodactilas;de alta velocidad;nectarivoro;nectarivoro;cuenco;3;cordillera;No;diurno;https://www.avesdechile.cl/0jpgn/380gde.jpg
Picaflor cordillerano ;Picaflor serrano chico;Oreotrochilus leucopleurus;Trochilidae;APODIFORMES;"blanco;castaño;verde";pequeño;anisodactilas;de alta velocidad;nectarivoro;nectarivoro;cuenco;3;cordillera;Si;diurno;https://www.avesdechile.cl/0jpgn/382wb2.jpg
Picaflor terciopelo;Colibri aterciopelado;Lafresnaya lafresnayi;Trochilidae;APODIFORMES;"blanco;negro;verde";muy pequeño;anisodactilas;de alta velocidad;nectarivoro;nectarivoro;cuenco;1;selva;No;diurno;https://www.avesdechile.cl/0jpgn/378se.jpg
Picaflor gigante;Pingara, Pinguera;Patagona gigas;Trochilidae;APODIFORMES;"blanco;pardo;verde";mediano - pequeño;anisodactilas;de alta velocidad;nectarivoro;nectarivoro;cuenco;1:14;campo;Si;diurno;https://www.avesdechile.cl/0jpgn/148an1.jpg
Martin Pescador;Kitekite, Martin pescador grande;Ceryle torquata;Alcedinidae;CORACIIFORMES;"azul;blanco;castaño";mediano - pequeño;anisodactilas;de alta velocidad;pescador;carnivoro;madriguera;11:16;formacion de agua dulce;No;diurno;https://www.avesdechile.cl/0jpgn/047wb1.jpg
Martin Pescador Chico;NULL ;Chloroceryle americana;Alcedinidae;CORACIIFORMES;"blanco;castaño;verde";pequeño;anisodactilas;de alta velocidad;pescador;carnivoro;madriguera;2;formacion de agua dulce;No;diurno;https://www.avesdechile.cl/0jpgn/245.jpg
Carpinterito;Carpintero bataráz patagónico;Dryobates lignarius;Picidae;PICIFORMES;"negro;pardo;rojo";pequeño;cigodactilas;elipticas;carpintero;carnivoro;cavidad;5:16;bosque;No;diurno;https://www.avesdechile.cl/0jpgn/293wb3.jpg
Pitio;Pitigüe, Pitiw;Colaptes pitius;Picidae;PICIFORMES;"negro;pardo;ocre";mediano - pequeño;cigodactilas;elipticas;carpintero;carnivoro;cavidad;4:16;bosque;No;diurno;https://www.avesdechile.cl/0jpgn/134jt1.jpg
Pitio del Norte;Yaka-yaka, Carpintero de las Piedras, Pito, Gargacha;Colaptes rupicola;Picidae;PICIFORMES;"negro;ocre";mediano - pequeño;cigodactilas;elipticas;carpintero;carnivoro;escarbado;1:2;humedales;No;diurno;https://www.avesdechile.cl/0jpgn/007ap1.jpg
Carpintero negro;Gallo del monte, Rere, Carpintero negro gigante;Campephilus magellanicus;Picidae;PICIFORMES;"blanco;negro;rojo";mediano;cigodactilas;elipticas;carpintero;carnivoro;cavidad;9:16;bosque;No;diurno;https://www.avesdechile.cl/0jpgn/115jpr2.jpg
Minero;Caminante, Caminera comun;Geositta cunicularia;Furnariidae;PASSERIFORMES;"gris;pardo";pequeño;anisodactilas;elipticas;insectivoro;carnivoro;cavidad;4:14;desierto;No;diurno;https://www.avesdechile.cl/0jpgn/172jc1.jpg
Minero de pico delgado;Caminera de pico largo;Geositta tenuirostris;Furnariidae;PASSERIFORMES;"gris;pardo";pequeño;anisodactilas;elipticas;insectivoro;carnivoro;cavidad;1;desierto;No;diurno;https://www.avesdechile.cl/0jpgn/391.jpg
Bandurilla;Bandurrilla de cola castaña;Upucerthia dumetaria;Furnariidae;PASSERIFORMES;"blanco;cafe;pardo";pequeño;anisodactilas;elipticas;insectivoro;carnivoro;madriguera;2:16;desierto;Si;diurno;https://www.avesdechile.cl/0jpgn/452jt1.jpg
Rayadito;NULL ;Aphrastura spinicauda;Furnariidae;PASSERIFORMES;"anaranjado;castaño;negro";muy pequeño;anisodactilas;de alta velocidad;insectivoro;carnivoro;madriguera;5:16;bosque;No;diurno;https://www.avesdechile.cl/0jpgn/080jc2.jpg
